lr,batch_size,Mean Squared Error,Relative Error 1,Relative Error 2,R^2
0.06,9182,0.4207299990363109,0.0007706374150392786,0.12641914750460947,0.4256271228611317
0.07,9182,0.42072984497728866,0.0007713114490591139,0.12641896768313496,0.42562733317968293
0.08,9182,0.4207297686381131,0.0007734934830078243,0.126418479856923,0.425627437396525
0.09,9182,0.4207297944056394,0.0007770342518893274,0.12641779117427,0.42562740221917084
0.1,8192,0.4207281557408251,0.0001243680719795314,0.12644541273361545,0.42562963929431685
0.2,8192,0.42074843234166365,6.161720647349526e-05,0.12646402930319825,0.4256019580507904
0.3,8192,0.42078047236815774,0.00010687946322208843,0.12647248150597679,0.4255582175943382
0.4,8192,0.4208176531721975,7.842813406424903e-05,0.1264759534764649,0.42550745904267895
0.5,8192,0.42085733769583816,1.8574806887038222e-05,0.12647744495968646,0.42545328245894687
0.6,8192,0.4208981448034787,5.0728359640022427e-05,0.12647794805590046,0.4253975733441301
0.7,8192,8.784965276440504e+34,1.7609314381159192e+16,5.566749612932421e+16,-1.1993073450792148e+35
0.8,8192,3.1114703662041733e+125,3.314183755960982e+61,1.0476643217092024e+62,-4.247722269537477e+125
0.9,8192,3.950485310318018e+224,1.1810336375547544e+111,3.73311477415299e+111,-5.393130081000869e+224
0.0001,16384,12.100571915382234,0.7720709192353106,0.7720709192353103,-15.519478815353128
0.0002,16384,7.792043180944358,0.599725436590082,0.5997254365900818,-9.637554419415315
0.0003,16384,5.30952957906164,0.46935082878756174,0.4710078777176296,-6.248472387433348
0.0004,16384,3.868809395162992,0.3706672872380202,0.3836734701803973,-4.281627619831006
0.0005,16384,3.0229399105873966,0.2959124213924008,0.32872533770460666,-3.1268621154636183
0.0006,16384,2.5171881848150717,0.23922515687630344,0.2951189749293206,-2.4364191365575016
0.0007,16384,2.206349211253012,0.19618031035997546,0.27461138711372124,-2.0120674716401536
0.0008,16384,2.0076272593219238,0.1634370175970672,0.26150447148368955,-1.7407759080655292
0.0009,16384,1.8737868714666843,0.13847318367716557,0.2526508215432037,-1.5580594656300533
0.001,16384,1.7778553043301786,0.11938492271416146,0.24634104687272423,-1.4270954498697228
0.002,16384,1.3305298845069673,0.057516045901240834,0.21439456448256136,-0.816414992118395
0.003,16384,1.072612450918106,0.04615089542630609,0.1927531966713165,-0.46431084282068347
0.004,16384,0.892332096308213,0.0390093848296115,0.17614740690629596,-0.21819540963056494
0.005,16384,0.763448453970776,0.03311297692560696,0.16336977198322428,-0.04224582525328935
0.006,16384,0.6703765118842755,0.028117023131160226,0.1537548819153072,0.0848142828435231
0.007,16384,0.6028448023593014,0.02386882303776462,0.14662928164438385,0.17700733393760038
0.008,16384,0.5537269294995244,0.020251771739397684,0.1413796168000805,0.24406215298551992
0.009,16384,0.5179531503431611,0.017169840915953947,0.13759725112192017,0.2928998600832673
0.01,16384,0.4918739872417957,0.014542666784402023,0.13483956507283942,0.3285026551732658
