lr,batch_size,Mean Squared Error,Relative Error 1,Relative Error 2,R^2
3e-05,2048,1.0707664760461924,0.03436022672785273,0.19256627878835378,-0.4617907517866815
3.05e-05,2048,1.0700695761649643,0.034323571667669764,0.19249400365979927,-0.4608393568522209
3.1e-05,2048,1.069390374724625,0.03428734462363949,0.1924236950742599,-0.4599121235046151
3.15e-05,2048,1.0687280872204927,0.03425153382732639,0.19235514997242448,-0.4590079807524634
3.2e-05,2048,1.068081973375349,0.03421612825059088,0.19228815943178154,-0.4581259179828856
3.25e-05,2048,1.0674513343573064,0.03418111753268655,0.19222266005162772,-0.45726498116340797
3.3e-05,2048,1.0668355101871685,0.03414649191628114,0.192158762892629,-0.45642426930253754
3.35e-05,2048,1.0662338773209052,0.03411224219113872,0.1920960640723458,-0.45560293114940253
3.4e-05,2048,1.065645846394135,0.034078359644370886,0.19203484985276872,-0.45480016211455987
3.45e-05,2048,1.0650708601166838,0.03404483601635506,0.19197512810238737,-0.45401520139568685
3.5e-05,2048,1.0645083913062896,0.034011663461568344,0.1919167907232081,-0.45324732929322953
3.55e-05,2048,1.0639579410514481,0.033978834513677544,0.19185978685435534,-0.45249586470235315
3.6e-05,2048,1.0634190369942176,0.033946342054352006,0.1918042346654306,-0.45176016276866116
3.65e-05,2048,1.0628912317245502,0.03391417928532238,0.19175010170737933,-0.45103961269616266
3.7e-05,2048,1.0623741012783714,0.03388233970329651,0.19169698020290366,-0.4503336356968801
3.75e-05,2048,1.061867243732249,0.033850817077385985,0.19164517095885844,-0.44964168307231644
3.8e-05,2048,1.0613702778880296,0.03381960542874298,0.19159457288030862,-0.448963234417745
3.85e-05,2048,1.0608828420413337,0.03378869901217409,0.1915451354729979,-0.4482977959409815
3.9e-05,2048,1.060404592828241,0.03375809229947975,0.19149665492940904,-0.44764489888790093
3.95e-05,2048,1.0599352041449202,0.033727779964357565,0.1914491332991062,-0.44700409806753405
4e-05,2048,1.0594743661353316,0.03369775686867833,0.1914025387220693,-0.44637497047009944
4.05e-05,2048,1.0590217842424823,0.03366801805000324,0.19135681592650594,-0.44575711397179374
